id_siniestro,id_poliza,id_asegurado,id_vehiculo,id_conductor,id_proveedor,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,ciudad,descripcion,documentos_completos,beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,historial_siniestros_vehiculo,historial_siniestros_conductor,historial_solo_rc_asegurado,tipo_impacto,hora_evento,tercero_identificado,evidencia_camaras,tipo_via,clima,documento_inconsistente,relato_ilogico,narrativa_cluster_id,similitud_narrativa_max,etiqueta_fraude_simulada,perfil_riesgo_generacion
SIN-00151,POL-00199,ASEG-00228,VEH-00355,COND-00285,PROV-0056,Vehiculos,Perdida Total por Robo,2025-10-30,2025-10-31,39020,31180,0,Pago Parcial,Santo Domingo,Santo Domingo,Al salir de un parqueadero me chocaron y el otro vehiculo se fue del sitio.,Si,PROV-0056,364,1,1,0,3,1,0,Robo,16,Si,No aplica,Urbana,Neblina,No,No,CLON-01,0.7,0,medio
SIN-00152,POL-00049,ASEG-00172,VEH-00103,COND-00186,PROV-0039,Vehiculos,Choque,2024-10-03,2024-10-04,3560,3850,2850,Pago Total,Quito Sur,Quito,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0039,150,215,1,0,1,0,0,Multiple,4,No,No,Residencial,Noche seca,No,No,,0.55,0,normal
SIN-00153,POL-00340,ASEG-00111,,,PROV-0014,Generales,Dano por Agua,2026-03-21,2026-03-22,4490,3690,1790,Anticipo,Quito Sur,Quito,El asegurado indica que fue impactado al salir de un parqueadero y el tercero abandono el lugar.,Si,PROV-0014,356,9,1,4,0,0,0,Lateral,4,Si,Si,Parqueadero,Noche seca,No,No,,0.39,0,medio
SIN-00154,POL-00515,ASEG-00105,VEH-00231,COND-00152,PROV-0009,Vehiculos,Robo Total,2025-10-14,2025-10-22,9330,8220,9330,Reserva,Machala,Machala,El auto amanecio golpeado y no hay registro de camaras del lugar.,Si,PROV-0009,28,337,8,0,0,3,0,Robo,21,Si,No aplica,Urbana,Neblina,No,No,CLON-02,0.89,0,alto
SIN-00155,POL-00342,ASEG-00058,VEH-00414,COND-00390,PROV-0026,Vehiculos,Perdida Total por Robo,2024-07-26,2024-08-03,31290,30910,18770,Pago Parcial,Machala,Machala,Reporto robo del vehiculo ocurrido cerca del fin de la poliza con denuncia tardia.,Si,PROV-0026,2,363,8,4,0,0,2,Robo,3,Si,No,Perimetral,Despejado,Si,No,CLON-03,0.87,1,alto
SIN-00156,POL-00406,ASEG-00234,VEH-00031,COND-00402,PROV-0039,Vehiculos,Danos Propios,2025-05-19,2025-05-19,16750,13840,10050,Cierre Sin Consecuencia,Manta,Manta,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,Si,PROV-0039,4,361,0,1,0,1,0,Lateral,13,Si,No,Residencial,Despejado,No,No,,0.22,0,medio
SIN-00157,POL-00209,ASEG-00042,VEH-00237,COND-00101,PROV-0030,Vehiculos,Choque,2025-05-06,2025-05-08,11280,10210,4510,Pago Parcial,Cuenca,Cuenca,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0030,184,181,2,1,1,0,0,Posterior,23,Si,No aplica,Parqueadero,Despejado,No,No,,0.07,0,normal
SIN-00158,POL-00448,ASEG-00084,VEH-00163,COND-00249,PROV-0055,Vehiculos,Danos Propios,2023-11-12,2023-11-17,8510,8140,0,Negativa,Cuenca,Cuenca,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0055,167,198,5,1,0,0,0,Robo,9,No,Si,Perimetral,Noche lluvia,No,No,,0.24,0,normal
SIN-00159,POL-00044,ASEG-00305,VEH-00352,COND-00088,PROV-0004,Vehiculos,Cristales,2025-06-27,2025-07-01,600,570,240,Pago Parcial,Quito Centro,Quito,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0004,74,291,4,4,0,0,0,Lateral,10,Si,Si,Parqueadero,Noche seca,No,No,,0.51,0,normal
SIN-00160,POL-00274,ASEG-00009,VEH-00415,COND-00148,PROV-0010,Vehiculos,Robo Total,2024-02-25,2024-02-25,19840,26520,11900,Cierre Sin Consecuencia,Manta,Manta,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0010,233,132,0,1,1,1,0,Robo,19,Si,No,Residencial,Lluvia,No,No,,0.46,0,normal
SIN-00161,POL-00103,ASEG-00089,,,PROV-0048,Accidentes Personales,Accidente Personal,2023-12-05,2023-12-10,3310,3830,1320,Pago Total,Loja,Loja,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0048,250,115,5,1,0,0,0,Posterior,14,Si,No,Residencial,Neblina,No,No,,0.33,1,normal
SIN-00162,POL-00216,ASEG-00300,VEH-00041,COND-00327,PROV-0050,Vehiculos,Danos Propios,2024-03-20,2024-03-20,10750,10440,8600,Liquidado,Quito Sur,Quito,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0050,187,178,0,2,2,0,0,Estacionado,8,No,No aplica,Interprovincial,Lluvia,No,No,,0.22,0,normal
SIN-00163,POL-00475,ASEG-00061,VEH-00085,COND-00239,PROV-0042,Vehiculos,Robo Parcial,2024-08-02,2024-08-09,3750,3320,3000,Pago Parcial,Machala,Machala,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0042,94,271,7,3,1,0,1,Robo,19,No aplica,Si,Perimetral,Neblina,No,No,,0.25,0,normal
SIN-00164,POL-00513,ASEG-00272,,,PROV-0031,Accidentes Personales,Accidente Personal,2025-10-27,2025-10-30,2410,1500,1930,Pago Parcial,Quito Sur,Quito,Al salir de un parqueadero me chocaron y el otro vehiculo se fue del sitio.,No,PROV-0031,11,354,3,2,0,0,0,Frontal,4,No,No,Residencial,Despejado,Si,No,CLON-01,0.98,1,alto
SIN-00165,POL-00413,ASEG-00307,VEH-00092,COND-00023,PROV-0047,Vehiculos,Cristales,2025-03-17,2025-03-20,1170,1310,470,Reserva,Guayaquil Centro,Guayaquil,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0047,110,255,3,0,1,0,0,Lateral,9,Si,Si,Parqueadero,Noche lluvia,No,No,,0.09,0,normal
SIN-00166,POL-00252,ASEG-00110,VEH-00301,COND-00149,PROV-0040,Vehiculos,Danos Propios,2023-09-20,2023-09-22,4150,3610,1660,Anticipo,Guayaquil Centro,Guayaquil,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0040,94,271,2,0,0,0,0,Frontal,14,Si,No,Urbana,Despejado,No,No,,0.25,0,normal
SIN-00167,POL-00037,ASEG-00201,VEH-00084,COND-00197,PROV-0017,Vehiculos,Robo Parcial,2024-03-08,2024-03-10,11920,12280,11920,Cierre Sin Consecuencia,Manta,Manta,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,No,PROV-0017,266,99,2,1,2,0,0,Robo,21,Si,No aplica,Residencial,Noche lluvia,No,No,,0.35,0,normal
SIN-00168,POL-00412,ASEG-00308,VEH-00355,COND-00347,PROV-0060,Vehiculos,Choque,2025-01-06,2025-01-07,5490,4770,3290,Pago Total,Santo Domingo,Santo Domingo,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0060,158,207,1,1,1,0,1,Lateral,14,Si,No,Urbana,Lluvia,No,No,,0.43,0,normal
SIN-00169,POL-00077,ASEG-00035,VEH-00332,COND-00140,PROV-0019,Vehiculos,Responsabilidad Civil,2023-08-30,2023-08-30,2760,3220,2760,Reserva,Quito Norte,Quito,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0019,128,237,0,1,1,0,0,Posterior,22,No,No,Urbana,Lluvia,No,No,,0.25,0,normal
SIN-00170,POL-00012,ASEG-00116,VEH-00011,COND-00341,PROV-0031,Vehiculos,Choque,2025-10-19,2025-10-23,7360,6130,7360,Pago Parcial,Guayaquil Norte,Guayaquil,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,Si,PROV-0031,17,348,4,3,2,0,0,Robo,21,Si,No aplica,Residencial,Noche seca,No,No,,0.48,1,medio
SIN-00171,POL-00107,ASEG-00201,VEH-00098,COND-00046,PROV-0020,Vehiculos,Gastos Medicos por Accidente,2025-02-24,2025-02-26,5330,6210,2130,Cierre Sin Consecuencia,Quito Norte,Quito,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0020,95,270,2,2,4,1,0,Frontal,3,Si,No,Interprovincial,Noche seca,No,No,,0.09,0,normal
SIN-00172,POL-00463,ASEG-00258,,,PROV-0007,Accidentes Personales,Accidente Personal,2025-11-20,2025-11-26,3150,2420,1890,Liquidado,Cuenca,Cuenca,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0007,170,195,6,4,0,0,1,Frontal,12,No,Si,Parqueadero,Noche lluvia,Si,No,,0.57,1,alto
SIN-00173,POL-00103,ASEG-00089,,,PROV-0052,Accidentes Personales,Accidente Personal,2024-01-29,2024-02-01,1840,1890,1470,Pago Total,Loja,Loja,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0052,305,60,3,2,0,0,0,Posterior,16,Si,Si,Residencial,Lluvia,No,No,,0.08,0,normal
SIN-00174,POL-00405,ASEG-00013,VEH-00380,COND-00240,PROV-0033,Vehiculos,Choque,2024-12-15,2024-12-25,3110,1930,3110,Cierre Sin Consecuencia,Quito Norte,Quito,El auto amanecio golpeado y no hay registro de camaras del lugar.,No,PROV-0033,54,311,10,0,0,1,0,Multiple,2,Si,No,Perimetral,Despejado,No,Si,CLON-02,0.92,1,alto
SIN-00175,POL-00166,ASEG-00274,VEH-00197,COND-00199,PROV-0054,Vehiculos,Danos Propios,2025-06-26,2025-06-28,5020,5280,5020,Pago Parcial,Guayaquil Centro,Guayaquil,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0054,183,182,2,1,2,1,0,Multiple,21,No,No,Residencial,Noche seca,No,No,,0.28,0,normal
SIN-00176,POL-00235,ASEG-00120,VEH-00368,COND-00153,PROV-0012,Vehiculos,Robo Parcial,2023-05-03,2023-05-04,3340,2940,0,Reserva,Quito Centro,Quito,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0012,97,268,1,0,0,0,0,Robo,17,Si,Si,Interprovincial,Lluvia,Si,No,,0.18,0,normal
SIN-00177,POL-00341,ASEG-00150,VEH-00299,COND-00473,PROV-0014,Vehiculos,Choque,2024-06-19,2024-06-19,9580,9080,5750,Reserva,Guayaquil Centro,Guayaquil,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0014,157,208,0,5,2,1,2,Posterior,13,Si,No aplica,Urbana,Lluvia,No,No,,0.25,0,normal
SIN-00178,POL-00238,ASEG-00144,VEH-00034,COND-00102,PROV-0026,Vehiculos,Danos Propios,2026-05-17,2026-05-20,15740,15330,0,Pago Total,Guayaquil Norte,Guayaquil,El asegurado indica que fue impactado al salir de un parqueadero y el tercero abandono el lugar.,No,PROV-0026,219,146,3,3,3,1,1,Posterior,8,Si,Si,Urbana,Lluvia,No,No,,0.52,0,medio
SIN-00179,POL-00296,ASEG-00052,VEH-00023,COND-00326,PROV-0033,Vehiculos,Choque,2024-11-10,2024-11-18,6770,3940,5410,Pago Parcial,Guayaquil Norte,Guayaquil,Fui impactado al salir del parqueadero y el tercero huyo sin entregar informacion.,No,PROV-0033,350,15,8,2,5,1,0,Volcadura,1,Si,No,Residencial,Neblina,No,No,CLON-01,0.9,0,alto
SIN-00180,POL-00459,ASEG-00277,VEH-00013,COND-00198,PROV-0007,Vehiculos,Danos Propios,2026-01-05,2026-01-06,7120,6530,5700,Reserva,Quito Sur,Quito,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0007,317,48,1,5,6,0,1,Posterior,20,No,No aplica,Urbana,Noche seca,No,No,,0.11,0,normal
SIN-00181,POL-00046,ASEG-00188,VEH-00342,COND-00117,PROV-0022,Vehiculos,Responsabilidad Civil,2025-04-06,2025-04-09,2190,1760,1750,Liquidado,Guayaquil Norte,Guayaquil,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,Si,PROV-0022,343,22,3,3,1,1,0,Robo,1,Si,No,Parqueadero,Despejado,No,No,,0.08,0,medio
SIN-00182,POL-00297,ASEG-00127,VEH-00016,COND-00084,PROV-0047,Vehiculos,Cristales,2025-12-21,2025-12-24,280,250,170,Reserva,Guayaquil Sur,Guayaquil,Reporto robo del vehiculo ocurrido cerca del fin de la poliza con denuncia tardia.,Si,PROV-0047,263,102,3,3,1,4,0,Posterior,14,Si,No,Parqueadero,Noche lluvia,No,No,CLON-03,0.76,0,medio
SIN-00183,POL-00520,ASEG-00206,VEH-00068,COND-00173,PROV-0060,Vehiculos,Robo Parcial,2025-10-22,2025-10-27,5580,5560,3350,Liquidado,Guayaquil Sur,Guayaquil,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0060,168,197,5,0,0,1,0,Robo,23,Si,No aplica,Parqueadero,Despejado,No,No,,0.2,0,normal
SIN-00184,POL-00136,ASEG-00094,VEH-00204,COND-00477,PROV-0035,Vehiculos,Responsabilidad Civil,2024-10-30,2024-11-02,3080,2800,2460,Reserva,Guayaquil Centro,Guayaquil,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0035,240,125,3,3,4,1,1,Estacionado,6,Si,No aplica,Parqueadero,Despejado,No,No,,0.42,0,normal
SIN-00185,POL-00088,ASEG-00279,VEH-00216,COND-00029,PROV-0052,Vehiculos,Gastos Medicos por Accidente,2024-11-11,2024-11-14,1380,1390,550,Pago Parcial,Guayaquil Norte,Guayaquil,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0052,255,110,3,4,4,0,0,Posterior,5,Si,No,Perimetral,Neblina,No,No,,0.24,0,normal
SIN-00186,POL-00024,ASEG-00258,VEH-00224,COND-00404,PROV-0023,Vehiculos,Perdida Total por Robo,2025-09-23,2025-09-26,13890,21100,8330,Reserva,Guayaquil Centro,Guayaquil,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0023,236,129,3,3,1,0,1,Robo,19,Si,Si,Interprovincial,Despejado,No,No,,0.23,0,normal
SIN-00187,POL-00352,ASEG-00021,VEH-00079,COND-00125,PROV-0049,Vehiculos,Choque,2025-08-13,2025-08-16,9100,8260,9100,Reserva,Guayaquil Sur,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0049,277,88,3,1,4,1,0,Estacionado,10,Si,Si,Interprovincial,Neblina,No,No,,0.11,0,normal
SIN-00188,POL-00007,ASEG-00154,VEH-00321,COND-00074,PROV-0049,Vehiculos,Robo Total,2023-07-24,2023-08-08,24170,20420,19340,Liquidado,Quito Sur,Quito,Me chocaron saliendo del parqueadero y el otro vehiculo huyo sin dejar datos.,No,PROV-0049,12,353,15,0,0,0,0,Robo,23,Si,No aplica,Residencial,Noche seca,No,No,CLON-01,0.93,0,alto
SIN-00189,POL-00135,ASEG-00350,VEH-00194,COND-00242,PROV-0009,Vehiculos,Gastos Medicos por Accidente,2025-12-10,2025-12-17,1450,1120,0,Reserva,Guayaquil Centro,Guayaquil,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,No,PROV-0009,359,6,7,3,3,0,1,Volcadura,21,Si,No,Residencial,Noche seca,No,No,,0.37,1,alto
SIN-00190,POL-00082,ASEG-00176,VEH-00169,COND-00077,PROV-0030,Vehiculos,Choque,2023-03-17,2023-03-17,8990,8460,7190,Reserva,Quito Centro,Quito,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0030,41,324,0,2,2,0,1,Posterior,16,Si,Si,Parqueadero,Neblina,No,No,,0.18,0,normal
SIN-00191,POL-00019,ASEG-00096,VEH-00045,COND-00400,PROV-0019,Vehiculos,Responsabilidad Civil,2025-08-06,2025-08-07,3860,4030,0,Pago Total,Quito Norte,Quito,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0019,81,284,1,5,0,2,2,Lateral,10,Si,No,Parqueadero,Lluvia,No,No,,0.13,0,normal
SIN-00192,POL-00222,ASEG-00096,VEH-00183,COND-00457,PROV-0016,Vehiculos,Responsabilidad Civil,2023-09-22,2023-09-24,3160,2020,2530,Cierre Sin Consecuencia,Quito Norte,Quito,Al salir de un parqueadero me chocaron y el otro vehiculo se fue del sitio.,No,PROV-0016,28,337,2,0,0,1,0,Frontal,0,No,No aplica,Perimetral,Noche lluvia,No,No,CLON-01,0.9,1,alto
SIN-00193,POL-00362,ASEG-00014,VEH-00003,COND-00065,PROV-0054,Vehiculos,Robo Parcial,2024-11-12,2024-11-13,18890,14730,7560,Reserva,Quito Norte,Quito,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,Si,PROV-0054,357,8,1,5,5,1,2,Robo,10,No,Si,Urbana,Noche seca,No,No,,0.32,0,medio
SIN-00194,POL-00471,ASEG-00296,,,PROV-0049,Hogar,Incendio,2025-07-18,2025-07-20,11880,10450,7130,Reserva,Ambato,Ambato,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0049,185,180,2,6,0,0,0,Lateral,5,Si,No,Residencial,Noche seca,No,No,,0.33,0,normal
SIN-00195,POL-00242,ASEG-00136,VEH-00356,COND-00389,PROV-0026,Vehiculos,Robo Total,2024-11-22,2024-11-26,6580,8830,3950,Reserva,Guayaquil Sur,Guayaquil,El reclamo incluye factura emitida el mismo dia del evento y documentos entregados parcialmente.,Si,PROV-0026,253,112,4,2,1,0,0,Robo,19,No aplica,No,Residencial,Despejado,No,No,,0.43,0,medio
SIN-00196,POL-00049,ASEG-00172,VEH-00103,COND-00391,PROV-0055,Vehiculos,Danos Propios,2024-10-22,2024-10-29,8170,8170,6540,Anticipo,Quito Sur,Quito,El conductor reporta perdida de control en curva sin testigos disponibles.,Si,PROV-0055,169,196,7,1,2,2,0,Lateral,11,Si,No,Perimetral,Lluvia,Si,No,,0.44,0,medio
SIN-00197,POL-00158,ASEG-00043,VEH-00259,COND-00473,PROV-0055,Vehiculos,Danos Propios,2023-10-08,2023-10-08,4280,4240,2570,Liquidado,Machala,Machala,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,No,PROV-0055,47,318,0,0,0,0,0,Frontal,7,Si,No,Interprovincial,Noche seca,No,No,,0.19,0,normal
SIN-00198,POL-00012,ASEG-00116,VEH-00011,COND-00268,PROV-0014,Vehiculos,Responsabilidad Civil,2025-10-24,2025-11-03,5270,3470,4210,Pago Parcial,Guayaquil Norte,Guayaquil,Reporto robo del vehiculo ocurrido cerca del fin de la poliza con denuncia tardia.,No,PROV-0014,22,343,10,4,3,0,0,Multiple,22,No,No,Perimetral,Noche seca,Si,Si,CLON-03,0.9,1,alto
SIN-00199,POL-00044,ASEG-00305,VEH-00352,COND-00369,PROV-0032,Vehiculos,Robo Total,2025-08-26,2025-08-26,11530,12480,9230,Pago Total,Quito Sur,Quito,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0032,134,231,0,4,2,2,0,Robo,20,Si,Si,Urbana,Neblina,No,No,,0.53,0,normal
SIN-00200,POL-00255,ASEG-00347,VEH-00069,COND-00064,PROV-0036,Vehiculos,Robo Total,2025-07-31,2025-08-02,33190,34670,26550,Liquidado,Quito Norte,Quito,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0036,236,129,2,3,2,0,1,Robo,19,Si,No aplica,Residencial,Lluvia,No,No,,0.38,0,normal
SIN-00201,POL-00356,ASEG-00139,VEH-00047,COND-00090,PROV-0021,Vehiculos,Responsabilidad Civil,2024-03-09,2024-03-13,3170,2480,0,Pago Parcial,Machala,Machala,Se reporta choque nocturno con danos moderados. No hay fotografias del momento del accidente.,Si,PROV-0021,316,49,4,2,2,0,0,Frontal,7,Si,Si,Interprovincial,Lluvia,No,No,,0.52,1,medio
SIN-00202,POL-00470,ASEG-00125,VEH-00296,COND-00081,PROV-0005,Vehiculos,Responsabilidad Civil,2025-10-02,2025-10-04,2140,2210,860,Anticipo,Guayaquil Sur,Guayaquil,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,Si,PROV-0005,10,355,2,2,0,0,2,Frontal,18,No aplica,Si,Interprovincial,Noche seca,No,No,,0.15,0,medio
SIN-00203,POL-00081,ASEG-00038,VEH-00410,COND-00304,PROV-0040,Vehiculos,Responsabilidad Civil,2023-09-06,2023-09-07,860,940,0,Pago Total,Quito Norte,Quito,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0040,111,254,1,0,0,0,0,Estacionado,23,No aplica,No,Interprovincial,Despejado,No,No,,0.1,0,normal
SIN-00204,POL-00482,ASEG-00053,VEH-00416,COND-00057,PROV-0034,Vehiculos,Danos Propios,2024-05-01,2024-05-03,4100,4210,3280,Reserva,Quito Norte,Quito,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0034,201,164,2,2,2,0,0,Sin impacto,13,Si,No,Residencial,Neblina,No,No,,0.18,0,normal
SIN-00205,POL-00443,ASEG-00169,,,PROV-0026,Hogar,Incendio,2024-10-10,2024-10-10,4680,3530,2810,Pago Parcial,Ambato,Ambato,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,Si,PROV-0026,339,26,0,7,0,0,2,Volcadura,14,No,Si,Urbana,Despejado,No,No,,0.07,0,medio
SIN-00206,POL-00292,ASEG-00183,VEH-00084,COND-00392,PROV-0044,Vehiculos,Danos Propios,2024-08-19,2024-08-22,3420,3380,3420,Pago Parcial,Cuenca,Cuenca,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0044,244,121,3,0,3,2,0,Frontal,12,No,No,Residencial,Neblina,No,No,,0.45,0,normal
SIN-00207,POL-00362,ASEG-00014,VEH-00003,COND-00478,PROV-0032,Vehiculos,Choque,2024-07-24,2024-07-29,6360,7830,3820,Negativa,Quito Norte,Quito,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0032,246,119,5,4,4,0,2,Posterior,5,Si,Si,Residencial,Despejado,No,No,,0.44,0,normal
SIN-00208,POL-00298,ASEG-00255,VEH-00073,COND-00230,PROV-0060,Vehiculos,Responsabilidad Civil,2026-02-18,2026-02-20,2350,2610,940,Reserva,Ambato,Ambato,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0060,110,255,2,1,2,0,0,Frontal,12,Si,No aplica,Interprovincial,Noche lluvia,No,No,,0.49,0,normal
SIN-00209,POL-00422,ASEG-00058,VEH-00369,COND-00237,PROV-0033,Vehiculos,Responsabilidad Civil,2025-05-09,2025-05-10,1830,1620,1830,Reserva,Machala,Machala,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0033,71,294,1,3,0,1,1,Estacionado,3,Si,Si,Interprovincial,Lluvia,No,No,,0.54,0,normal
SIN-00210,POL-00450,ASEG-00340,,,PROV-0011,Hogar,Incendio,2023-11-04,2023-11-04,5560,3660,4450,Anticipo,Loja,Loja,Me chocaron saliendo del parqueadero y el otro vehiculo huyo sin dejar datos.,Si,PROV-0011,7,358,0,0,0,0,0,Frontal,15,No,No,Perimetral,Neblina,No,No,CLON-01,0.89,1,alto
SIN-00211,POL-00253,ASEG-00229,VEH-00409,COND-00152,PROV-0033,Vehiculos,Perdida Total por Robo,2024-12-06,2024-12-13,35760,23150,14300,Reserva,Quito Norte,Quito,En la madrugada encontre el vehiculo golpeado y no existen camaras disponibles.,Si,PROV-0033,336,29,7,2,1,1,0,Robo,1,Si,No,Perimetral,Neblina,No,No,CLON-02,0.9,1,alto
SIN-00212,POL-00315,ASEG-00039,VEH-00417,COND-00317,PROV-0050,Vehiculos,Responsabilidad Civil,2024-09-06,2024-09-12,2430,2710,2430,Pago Parcial,Quito Centro,Quito,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,No,PROV-0050,146,219,6,2,7,3,0,Sin impacto,13,No,Si,Parqueadero,Lluvia,No,No,,0.5,0,normal
SIN-00213,POL-00159,ASEG-00054,VEH-00127,COND-00232,PROV-0006,Vehiculos,Choque,2025-04-02,2025-04-04,4490,5060,2700,Reserva,Cuenca,Cuenca,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0006,198,167,2,7,4,1,2,Lateral,3,Si,Si,Residencial,Lluvia,No,No,,0.47,0,normal
SIN-00214,POL-00520,ASEG-00206,VEH-00068,COND-00452,PROV-0009,Vehiculos,Responsabilidad Civil,2025-11-26,2025-11-26,910,780,360,Liquidado,Guayaquil Sur,Guayaquil,El reclamo incluye factura emitida el mismo dia del evento y documentos entregados parcialmente.,Si,PROV-0009,203,162,0,1,1,2,0,Volcadura,12,No,No,Interprovincial,Neblina,No,No,,0.56,0,medio
SIN-00215,POL-00016,ASEG-00347,VEH-00024,COND-00075,PROV-0016,Vehiculos,Choque,2023-05-04,2023-05-07,10320,11620,8260,Reserva,Quito Norte,Quito,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0016,112,253,3,0,0,0,0,Posterior,2,Si,Si,Perimetral,Noche seca,No,No,,0.37,0,normal
SIN-00216,POL-00125,ASEG-00259,VEH-00033,COND-00472,PROV-0005,Vehiculos,Robo Total,2025-03-24,2025-03-27,17160,37250,0,Pago Total,Quito Sur,Quito,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0005,165,200,3,0,0,0,0,Robo,16,Si,No,Parqueadero,Noche lluvia,No,No,,0.42,0,normal
SIN-00217,POL-00312,ASEG-00046,VEH-00165,COND-00372,PROV-0022,Vehiculos,Responsabilidad Civil,2024-05-30,2024-05-31,4480,4970,1790,Liquidado,Guayaquil Norte,Guayaquil,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0022,279,86,1,6,4,0,3,Estacionado,16,Si,No aplica,Interprovincial,Despejado,Si,No,,0.38,0,normal
SIN-00218,POL-00238,ASEG-00144,VEH-00034,COND-00081,PROV-0043,Vehiculos,Responsabilidad Civil,2026-04-20,2026-04-22,5410,6750,0,Reserva,Guayaquil Norte,Guayaquil,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0043,192,173,2,2,2,2,0,Estacionado,12,Si,Si,Interprovincial,Neblina,No,No,,0.3,0,normal
SIN-00219,POL-00400,ASEG-00117,VEH-00362,COND-00140,PROV-0023,Vehiculos,Choque,2025-06-04,2025-06-11,2820,2110,0,Negativa,Cuenca,Cuenca,El reclamo incluye factura emitida el mismo dia del evento y documentos entregados parcialmente.,Si,PROV-0023,339,26,7,1,1,0,0,Posterior,20,Si,No aplica,Parqueadero,Noche lluvia,No,No,,0.11,0,medio
